,job_titles,companys,employment_type,seniority,industrys,salary,salary_terms,job_descriptions,job_requirements,links,location,gov_support,min_salary,max_salary,average_salary,salary_med,job_titles_topics,job_description_topic,job_req_topics
1,Applied Data Science Associate,DATAROBOT SINGAPORE PTE. LTD.,Permanent,Professional,Information Technology,90000to150000,Monthly,"Looking to move into Data Science? Want to learn from some of the worldâs leading data scientists? Want to work on real problems and have an impact in the real world? Do you enjoy discovering actionable insights from data? Do you like bringing innovative solutions to market and driving adoption? Do you have passion for customer success? Join DataRobot as an Applied Data Science Associate.  At DataRobot, you will undergo a year long training program that will sharpen both your data science and customer-facing skills. We will spend the first six months deepening your understanding of data science as an applied science. We will develop your skills to allow you to have a real-world business impact using data science. This will involve an understanding of the entire data science lifecycle and how to carry out projects that can drive business.  Upon completion of this training, you will spend the next six months working under the direction of our customer-facing data scientist and sales team with our customers. Working with them, you will learn to develop client relationships and deliver practical data science solutions for customers across a variety of industries. You will gain experience leading technical demonstrations of DataRobot, helping clients develop models that add value to their organizations, and integrating those models into client environments.  At the completion of this program, you will work on a capstone project to deliver value to an active customer or prospect. Following the successful completion of this project, you will be promoted to Applied Data Scientist and work as a member of our Customer Facing Data Scientist team.  ","RequirementsMain Requirements  Experience/Training in science, engineering, or computer science Excellent organizational, communication, writing and interpersonal skills Up to 50% travel  Desired Skills  Strong customer interaction skills Fluency with scripting (Python / R) Familiarity with machine learning techniques and use cases Familiarity with a variety of technical tools for the manipulation of datasets Experience with machine learning techniques Hands-on experience building and implementing predictive models ",https://www.mycareersfuture.sg/job/applied-data-science-associate-datarobot-singapore-f435347c5bb57a365a10f5a441f14f6f,Central,yes,7500.0,12500.0,10000.0,1,5,6,4
5,Senior / Data Engineer (Data Science Team),M1 LIMITED,Full Time,Fresh/entry level,Engineering,3500to5800,Monthly," Design, optimise/tune performance, maintain, monitor, diagnose, and troubleshoot the processes, data delivery, and other outputs and facets of the big data platform Prepare progress and activity reports on the platformâs status and health (e.g. SLAs, data quality) Develop ETL/architectural pipelines/packages/roadmaps for data migration/data collection across different databases and systems Analyse and create data elements/flows, dependencies and relationships, and physical/logical data models Collaborate and communicate with the data science team relating to business requirements Automate, productise, and document the parts of the data science lifecycle/workflow (e.g. training, testing, deployment) Design, develop, and deploy high performance, at-scale solutions/pipelines (e.g. batch, real-time) to process large volumes of varied data formats (e.g. structured/unstructured) Work on Agile/DevOps technologies, micro-services, and APIs Keep up with industry trends and best practices in data engineering and the telco business and share with the data science team ","Requirements Bachelorâs degree in Computer Science/Engineering, Applied Mathematics, Management Information Systems, or related field 2-3 years of relevant working experience;Â candidatesÂ without working experience who possessÂ the right skills/ competencies and eager to learn are welcome to apply Strong understanding and experience working in GNU/Linux environments Previous experience in designing and developing data models, multiple data source integration, ETL pipelines, and using data wrangling tools in EDW and big data platforms Experience in designing/developing at-scale, high-throughput big data/machine learning systems and applications Knowledge of software engineering practices and the software development life cycle (e.g. coding standards, review, control, testing) Experience and knowledge in distributed data processing, streaming, and computation frameworks (e.g. Spark, Kafka, Sqoop, Flume) Experience in/with:   DevOps automation, configuration, containerisation and orchestration (e.g. Ansible, Kubernetes, Docker, Jenkins) Development using big data applications (e.g. HIVE, HBase, Impala) Object-oriented/object function scripting languages (e.g. Python, Java, C++, Scala) Relational SQL and NoSQL databases (e.g. Oracle, Postgres, Cassandra) Disaster recovery, backup, automated testing, migration, and deployment (e.g. on-prem, cloud) Utilizing web services, SOAP, REST, etc Development and collaboration tools (e.g. GIT, Jira) Managing and interacting with users and vendors   Familiarity with internet technologies and public clouds (e.g. SaaS, IaaS, PaaS, AWS, Google Cloud, Azure) Knowledge in the Telecom industry is an advantage Effective verbal and written communication with ability to write thorough and clear documentation ",https://www.mycareersfuture.sg/job/senior-data-engineer-m1-1fc844c78813223b095744286b52d2c2,West,yes,3500.0,5800.0,4650.0,0,7,6,5
8,Data Science Engineer,DATAROBOT SINGAPORE PTE. LTD.,Permanent,Professional,Information Technology,90000to150000,Monthly,"As a Data Science Engineer in DataRobot, you will work on our machine learning platform and actively contribute to the automation of data science best practices and the development of our state-of-the-art preprocessing, modeling and reporting capabilities. As a Data Science Engineer on our team, you will accelerate the process of engineering features to get the most out of multiple data sources and data types. The people you will work with own the entire feature learning experience for DataRobot, and is responsible for making sure our feature discovery automation and resulting models are the best in the world. You will build out Data Management and ETL system inside DataRobot utilizing distributed frameworks such as Spark, Hadoop and Kubernetes. You will build scalable solutions to process high data volumes, with the main focus on crafting robust components for data intake, cleanup and full variety of data transformation. You will also be responsible for designing and implementing features from start to finish, including clean and easy to use APIs, automated tests, and deployment infrastructure.",Requirements 5+ years of combined python Engineering / Data Science experience     Minimum 1 year of Engineering experience Minimum 1 year of Data Science experience   ,https://www.mycareersfuture.sg/job/data-science-engineer-datarobot-singapore-51a02f9c2b6cd9a12c4d34b71a9560ef,Central,yes,7500.0,12500.0,10000.0,1,0,6,5
11,"Senior Manager / Assistant Director (Data Science), NUHS Management Decision Support Office",NATIONAL UNIVERSITY HEALTH SYSTEM PTE. LTD.,Full Time,Middle Management,Information Technology,5410to10890,Monthly,"As Senior Manager/Assistant Director in Management Decision Support Office, you will identify, design and build models for initiatives where data analytics can be applied to transform and optimize program deliverables. Job Responsibilities  Collaborate with key stakeholders, namely programme and cross-functional teams and senior management, to prioritize information needs. Identify available and relevant datasets and make strategic recommendations on such collection, integration usage and leading in the discovery processes with stakeholders to model and frame scenarios that will impact on business processes and decision-making. Manage the entire data modeling cycle, including data preparation, data modeling, evaluation and deployment. Interpret data and analyze results to derive insights and foresight, and provide feedback to align programmes. Mentor and train junior data professionals in the application of data science. Collaborate with data engineering on future-proofing architecture that scales with time and complexity ","Requirements Minimum Masterâs degree in Analytics, Statistics, Computer Science, Information Management, Mathematics, Economics, Operation Research, Engineering or Finance. At least 5 years of relevant working experience.   Good interpersonal skills, a detail-oriented and flexible person who can work across different areas within the team as well as alignment cross functionally outside the team. Ability to deliver clear, concise reports and presentations/dashboards and effectively articulate observations and recommendations. Proficient in the use of Data Visualization & Management Tools (e.g. Tableau), Commercial Statistical Software (e.g. SAS, SPSS, STATA) and/or open source platforms (e.g. R and Python). Ability to build and interpret probabilistic models of complex, high-dimensional systems is a plus. Experience with Regression Models, Neural Networks, Cluster Analysis, Structural Equations Models, formulating and solving OR models like linear (large-scale), mixed integer, non-linear and evolutionary programming methods is a plus; Knowledge of natural language processing, text mining, Random Forest and Ensemble Models is a plus Familiar with database management, architecture design, system integration, security and data governance is a plus Can-do attitude and ability to work independently, comfortable with ambiguity Thrive in problem solving, learning and applying new knowledge. ",https://www.mycareersfuture.sg/job/senior-manager-assistant-director-nuhs-management-decision-support-office-national-university-health-system-fb52da27c4dca41df18bed2438bca1ce,South,no,5410.0,10890.0,8150.0,1,7,6,4
13,Research Associate (Data Science) - EEE / INFINITUS,NANYANG TECHNOLOGICAL UNIVERSITY,Contract,Professional,Engineering,3000to4500,Monthly,"A Research Associate position is available in the School of Electrical & Electronic Engineering at Nanyang Technological University. We are looking to hire a motivated Research Associate to work on statistical signal processing, data analytics and machine learning related to privacy preservation. The candidate must have a strong background in probability, statistics, and data science. Â Job Responsibilities:  Perform research in statistical signal processing, data analytics and machine learning related to privacy preservation. Perform software and hardware implementation. Help to supervise students and contribute to proposal writing. ","Requirements MSc in Electrical Engineering, Computer Science, Statistics or other related fields. 2 years of research experience, including PhD studies. Solid Mathematical skills. Experience in statistical learning, data analytics and machine learning. English: Fluent speaking/writing skills.  We regret only shortlisted candidates will be notified.",https://www.mycareersfuture.sg/job/research-associate-eee-infinitus-nanyang-technological-university-67c714d60cec137110d1bed73babe870,West,no,3000.0,4500.0,3750.0,0,5,6,4
15,Data Science Lead,TRAVELOKA SERVICES PTE. LTD.,Full Time,Manager,Information Technology,10000to15000,Monthly,"As a Data scientist, you play a key role to solve complex problems and drive insights from our sea of dataÂ Â   You will be responsible for:  Enhance our data infra, analyze large, complex datasets into actionable insights Use data to solve complex problems which are pivotal to our business  You will work in cross-functional teams and meet great people regularly from top tier technology, consulting, product, or academic background. We work in open environment where there are no boundaries or power distance. Everyone is encouraged to speak their mind, propose ideas, influence others, and continuously grow themselves. Get the exposure to multi-aspect, collaborative, intensive startup experience with our recent expansion into Southeast Asia and exploration of new products.Â ","RequirementsWe are looking for someone with:  Passion in big data Solid analytical and problem solving skills to create data-driven insights Bachelors/Masters/PhD degree from top universities in a quantitative field (Physics, Mathematics, Computer Science, Engineering, etc.) Plus: Knows programming language (e.g. Python, Java, Haskell) and past participation in science Olympiad or Kaggle. Able to lead a team of Data Scientist ",https://www.mycareersfuture.sg/job/data-science-lead-traveloka-services-02815e03a30f3de4a413614bb97affe1,NA,yes,10000.0,15000.0,12500.0,1,9,6,4
16,Data Science Consultant,U3 INFOTECH PTE. LTD.,Permanent,Professional,Engineering,4500to6500,Monthly,"Primary Responsibilities:Â  â¢ Understand large data sets, build data models to address business problems â¢ Undertake data collection, pre-processing and analysis â¢ Build predictive models and machine learning algorithmsÂ ","RequirementsThe role will involve analysis and extensive data crunching with good amount of hands on programming skills. This role requires following skills and experience:Â   â¢ Proven experience (2-5 Years) as a Data Scientist or Data Analyst â¢ Good knowledge on cloud technologies especially Microsoft Azure. â¢ Experience in data mining â¢ Understanding of machine-learning and operations research â¢ Knowledge of R, SQL and Python; familiarity with Scala, Java or C++ is an asset â¢ Experience using business intelligence tools (e.g. Tableau) and data frameworks (e.g. Hadoop) â¢ Analytical mind and business acumen â¢ Strong math skills (e.g. statistics, algebra) â¢ Problem-solving aptitude â¢ Excellent communication and presentation skills Â  Â  Candidate should possess good soft skills as mentioned below:Â  â¢ Should possess excellent problem solving and is able to work effectively in a less structured environment and manage time. â¢ Excellent verbal and written communication skills â¢ Work closely with onsite and offshore team members â¢ Willing to travel to the customers locations on need basis outside of SingaporeÂ  Â  Interested applicants, please send CVs in WORD format directly to roopinder@u3infotech.com. *Please note only shortlisted candidates will be contacted.",https://www.mycareersfuture.sg/job/data-science-consultant-u3-infotech-f4e5b50e258dd4338eb544f303554bf6,Central,yes,4500.0,6500.0,5500.0,0,9,6,7
20,"Vice President, Data Science",LAZADA SOUTH EAST ASIA PTE. LTD.,Full Time,Middle Management,Information Technology,9000to13500,Monthly,"Team Introduction Lazada is the number one online shopping & selling destination in Southeast Asia â present in Indonesia, Malaysia, the Philippines, Singapore, Thailand and Vietnam. Lazada helps more than 80,000 local and international sellers as well as 2,500 brands serve the 560 million consumers in the region through its marketplace platform, supported by a wide range of tailored marketing, data, and service solutions. Lazada offers an excellent customer experience through a wide network of logistics partners and its own first- and last-mile delivery arm. Job Description As a Lazada data scientist, you will face different challenges. You will be applying different techniques such as deep learning, reinforcement learning, natural language processing and operational research to solve real world problems. You will be:  1. Responsible for recommendation frameworks and algorithms for products, product topics, sellers, and feeds stream by item quality control and online personalization. 2. Responsible for developing audience, content and bidding algorithms for digital marketing on channels, and help engage our customers better by notifications. 3. Responsible for campaign operation algorithms for seller and product recruiting, product scheduling, stock prediction, pricing strategy, and onsite recommendations. 4. Responsible for ecommerce knowledge representations, quality controlling and caring for product, category, seller and reviews; natural language processing for opinion mining and text generation.","Requirements At least two years relevant working experience; Masters or PhD degree in computer science, operations research, statistics, mathematics, or equivalent fields; Solid theoretical foundations and industry experiences in machine learning, natural language processing, personalized search & recommendation, user/seller behavior modeling, sales prediction, knowledge graph and representation, marketing algorithm, large scale data analysis/platforms; Expertise in deep learning, reinforcement learning, explore & exploit algorithms, control theory is preferred; Experience in machine learning libraries such as Tensorflow, Keras, Theano, etc; Solid programming skills in SQL, Java, Python and Scala; Passionate about technology, demonstrate ability to generate new ideas and innovations; excellent in self-learning, problem analyzing and solving; work independently, proactive, strong teamwork spirit; Good interpersonal and communication skills, including the ability to describe the logic and implications of a complex model to stakeholders.Â  ",https://www.mycareersfuture.sg/job/vice-president-data-science-lazada-south-east-asia-f6b651f8295d130aa749e57c339b5402,Central,yes,9000.0,13500.0,11250.0,1,9,0,4
23,Data Analytics Lead (PDD),JTC Corporation,Permanent,Manager,Information Technology,7000to9000,Monthly,"Punggol Digital District (PDD) is an upcoming mixed-use development that will house the key growth sectors of the digital economy such as cybersecurity and data analytics. It is also the first digital district in Singapore where we will integrate smart technologies horizontally on a single Open Digital Platform (ODP) to yield synergies across various technologies.Â The ODP will become a reference digital architecture for future smart districts in Singapore and transform the way we work, live and play.
What to Expect:Â 
As a Data Analytics Lead, you will help develop strong data science capabilities within the Smart District Division in JTC. You are expected to use data science to help the team develop descriptive, predictive and prescriptive analytics capabilities to streamline work process. You will be working closely with other Government Agencies such as GovTech, IMDA, CSA as well as Strategic Industry Partners to formulate and implement the data analytics strategy for an Open Digital Platform (ODP) for Smart Districts.
Â·Â Â Â Â Â Â Â Â Chart and drive the data analytics strategy for the Open Digital Platform,
Â·Â Â Â Â Â Â Â Â Work closely with stakeholders to understand their needs, scope the problems and develop business case to operationalize insights from data,
Â·Â Â Â Â Â Â Â Â Specify requirements to build data science capabilities within the ODP, and
Â·Â Â Â Â Â Â Â Â Design dashboards and interactive visualization tools for data exploration
Â 
How to succeed:
Â·Â Â Â Â Â Â Â Â Bachelor degree in Computer Science, Statistics, Economics, Quantitative Social Science or related degrees. Advanced degrees and relevant certifications (e.g. Coursera) preferred,
Â·Â Â Â Â Â Â Â Â Minimally 5 years of relevant working experience, preferably in Facility Management or data science field,
Â·Â Â Â Â Â Â Â Â Have experience leading a data science team, and implementing domain-specific analytics project
Â·Â Â Â Â Â Â Â Â Ability to take a broad, strategic perspective as well as drill deep to understand business needs and challenges,
Â·Â Â Â Â Â Â Â Â Understand key concepts, techniques and considerations in machine learning and data analytics,
Â·Â Â Â Â Â Â Â Â Training and relevant experience in one or more of the following areas:
oÂ Â Â Data science tools such as R, Python
oÂ Â Â Visual analytics technologies like Tableau, Qlik
Â·Â Â Â Â Â Â Â Â Excellent communication skills, both oral and written, with ability to pitch ideas and influence stakeholders,
Â·Â Â Â Â Â Â Â Â Team player with strong organization and people management skills
Â 
Â ",NA,https://www.mycareersfuture.sg/job/data-analytics-lead-jtc-corporation-f0981bc8de79f14cb31032ab91147348,NA,no,7000.0,9000.0,8000.0,1,9,6,2
24,Data Scientist,PROPERTYGURU PTE. LTD.,Permanent,Executive,Information Technology,7000to9000,Monthly,"The role: PropertyGuru, Asia's leading online property group, is looking for a new data scientist for the Data Science & Analysis Team. After a phenomenal ride of growth, the company is further expanding to new milestones with special focus on Data Science & BI based products. As a data scientist, you will be part of one of Southeast Asia's strongest technology teams working on high impact data science project. In this role, you will lead the research and execution of data science project, working with massive interesting data, and turn them into our key competency. Our websites attract more than 100 million monthly page-views which results in non-stop massive click-stream for behavior data with around 130M of users: we also have the most comprehensive data for property supply and demand in Southeast Asia. Are you ready to turn our massive data into superior consumer satisfaction and remarkable business growth? Responsibilities:  Initiate high impact data science projects and make actionable plan Research and design the core algorithm Develop prototype and some production API Liaise with product owner and engineers to deliver Analyse the performance of data science projects and continuously improve  Â   ","RequirementsRequirements:  PhD in Machine Learning related field, or Master with rich relevant experience Familiar with general ML methods and expert in one of the following field: 	 Deep learning Recommender Supervised learning and feature engineering Personalization Time series analysis   Proven success in applying data science methodologies to business Proficient in a data science language like Python, R, or Scala Familiar with machine learning packages like scikit-learn, TensorFlow etc. Ability to develop stable production API is a plus Logical & systematic, team player, fast learner ",https://www.mycareersfuture.sg/job/data-scientist-propertyguru-d4be4cc0a144ae612200804ff3033310,Central,no,7000.0,9000.0,8000.0,1,2,9,4
