,job_titles,companys,employment_type,seniority,industrys,salary,salary_terms,job_descriptions,job_requirements,links,location,gov_support
0,Senior Data Engineer (Data Science and Artificial Intelligence),Maritime and Port Authority of Singapore,Permanent,Executive,Public / Civil Service,Salary undisclosed,,"As a core team member of the MPA Data Science and Artificial Intelligence department, the data engineer primary duties are to design, build, integrate MPA’s various data science platforms and systems. Reporting to the Chief Information Officer (CIO), you will be heavily involved in shaping the department’s strategic development and future roadmap.  You will drive the establishment of MPA’s Data Science Centre of Excellence to support the building, development and scaling of next-generation data systems in MPA, including the Singapore Maritime Data Hub, MPA Big Data Platform and internal Data Lake. You will also be responsible for the end-to-end management of MPA’s Hadoop-based Big Data Platform including design, prototyping, productising, optimising and maintaining data pipelines and data sets to support data science team in conducting quantitative analysis and developing machine learning and AI applications. You would be expected to work closely with the application development teams, business users, data analysts and maritime technology community to support data sharing, system integration and application testing. You will also determine the efficacy of our current data architecture and work with the IT team to map out strategy plans to strengthen data management, data governance, data privacy and cyber security issues. We are looking for experienced hires who possess the following:  A relevant qualification  in IT, Engineering, Computing, Data Science or other related disciplines with at least 5 years of work experience in a data engineering role or similar function. Experience in developing near real-time big data infrastructure and deploying high performance production systems to support data science, machine learning and AI algorithms/applications.    Experience in enterprise data platforms and Big Data tools:-Apache Hadoop ecosystem and related tools (HDFS, MapReduce, Kafka, Spark, Hive, NiFi).-Cloud-based data platforms (Cloudera, Talend, HortonWorks, AWS, Google BigQuery, Microsoft Azure).- Enterprise database and data warehouse management (Sybase, SAP, MySQL, SQL Server, Oracle, PostgreSQL). Experience with building data or metric-driven experimentation platform e.g. to conduct A/B testing experiments. Candidates with knowledge or experience in any of the following areas would have an added advantage:- Knowledge of AI programming and applications (deep learning, natural language processing, neural networks).- Experience in software development or strong programming skills (Python, R, Java, C++).- Experience working on Talend Data Management System.- Knowledge of machine learning tools, libraries and techniques (eg. TensorFlow, Scikit-learn, Pytorch).- Familiar with data visualisation tools (Tableau, Qlik).- Familiar with API frameworks and development.- Strong communication skills with ability to articulate and present complex data insights and information for broad range of audience. ",,https://www.mycareersfuture.sg/job/senior-data-engineer-maritime-port-authority-singapore-5e04d9fe6a97ad7bd5cb86353a193535,,
1,Applied Data Science Associate,DATAROBOT SINGAPORE PTE. LTD.,Permanent,Professional,Information Technology,"$90,000to$150,000",Annually,"Looking to move into Data Science? Want to learn from some of the world’s leading data scientists? Want to work on real problems and have an impact in the real world? Do you enjoy discovering actionable insights from data? Do you like bringing innovative solutions to market and driving adoption? Do you have passion for customer success? Join DataRobot as an Applied Data Science Associate.  At DataRobot, you will undergo a year long training program that will sharpen both your data science and customer-facing skills. We will spend the first six months deepening your understanding of data science as an applied science. We will develop your skills to allow you to have a real-world business impact using data science. This will involve an understanding of the entire data science lifecycle and how to carry out projects that can drive business.  Upon completion of this training, you will spend the next six months working under the direction of our customer-facing data scientist and sales team with our customers. Working with them, you will learn to develop client relationships and deliver practical data science solutions for customers across a variety of industries. You will gain experience leading technical demonstrations of DataRobot, helping clients develop models that add value to their organizations, and integrating those models into client environments.  At the completion of this program, you will work on a capstone project to deliver value to an active customer or prospect. Following the successful completion of this project, you will be promoted to Applied Data Scientist and work as a member of our Customer Facing Data Scientist team.  ","RequirementsMain Requirements  Experience/Training in science, engineering, or computer science Excellent organizational, communication, writing and interpersonal skills Up to 50% travel  Desired Skills  Strong customer interaction skills Fluency with scripting (Python / R) Familiarity with machine learning techniques and use cases Familiarity with a variety of technical tools for the manipulation of datasets Experience with machine learning techniques Hands-on experience building and implementing predictive models ",https://www.mycareersfuture.sg/job/applied-data-science-associate-datarobot-singapore-f435347c5bb57a365a10f5a441f14f6f,Central,Government support available
2,"Data Science Lead, Large Customer Sales - Singapore",GOOGLE ASIA PACIFIC PTE. LTD.,Full Time,Executive,Sales / Retail ,"$7,700to$15,400",Monthly,"Company overview: Google is not a conventional company, and we don’t intend to become one. True, we share attributes with the world’s most successful organizations – a focus on innovation and smart business practices comes to mind – but even as we continue to grow, we’re committed to retaining a small-company feel. At Google, we know that every employee has something important to say, and that every employee is integral to our success. We provide individually-tailored compensation packages that can be comprised of competitive salary, bonus, and equity components, along with the opportunity to earn further financial bonuses and rewards. Googlers thrive in small, focused teams and high-energy environments, believe in the ability of technology to change the world, and are as passionate about their lives as they are about their work. For more information, visit www.google.com/careers. The area: Large Customer Sales (LCS) Our Large Customer Sales teams partner closely with many of the world’s biggest advertisers and agencies to develop digital solutions that build businesses and brands. We enjoy a bird’s eye view on the massive transformation occurring as advertising shifts to mobile and online platforms. We're uniquely situated to help shape how companies grow their businesses in the digital age. We advise clients on Google's broad range of products across search, video and mobile to help them connect instantly and seamlessly with their audiences. The role: Data Science Lead, Large Customer Sales - Singapore At Google, data drives all of our decision-making. Quantitative Analysts work all across the organization to help shape Google's business and technical strategies by processing, analyzing and interpreting huge data sets. Using analytical rigor and statistical methods, you mine through data to identify opportunities for Google and our clients to operate more efficiently, from enhancing advertising efficacy to network infrastructure optimization to studying user behavior. As an analyst, you do more than just crunch the numbers. You work with Engineers, Product Managers, Sales Associates and Marketing teams to adjust Google's practices according to your findings. Identifying the problem is only half the job; you also figure out the solution. Additional Role Description: As a Data Science Lead, you'll be a key member of Google Large Customer Sales, the team that manages Google’s business relationship with global advertisers. You will generate actionable insights and solutions that drive business results by applying data science techniques and Machine Learning models to Google data, customers’ data, and third-party data.  By working closely with customers’ Marketing, Data Science, Business Intelligence and Customer Relationship Management (CRM) teams, you will develop an understanding of the key opportunities and challenges they face. You will scope, execute, and take full ownership of projects that will leverage Google’s cutting-edge data science techniques and Machine Learning models to help customers solve their most pressing challenges, defining and scaling solutions to optimize marketing effectiveness, attribution models, creative excellence, and lifetime value (LTV). Responsibilities: - Analyze Google data, customers’ data, and third party-data to identify business opportunities. - Deliver projects end-to-end, working with customers’ teams to gather and prepare data/features, analyze data with programming/statistical languages, and generate insights. - Work with account management teams to ensure that recommended solutions deliver expected performance improvements for customers. - Collaborate with gTech Customer Solutions Engineers and customers’ engineering teams to implement and scale the solutions identified. - Act as data science advocate within Google Singapore Large Customer Sales, advising and coaching analytical teams and sharing best practices and case studies.","RequirementsMinimum qualifications: - Bachelor’s degree in Statistics, Mathematics, Computer Science, related field or equivalent practical experience. - 4 years of experience in data science, analytics, and statistical modeling. - Experience in SQL and statistical programming languages. Experience working for apps, e-Commerce, financial technology, gaming, travel, and/or ride hailing companies. - Experience in translating data science concepts into business recommendations. Preferred qualifications: - Master’s or PhD degree in Statistics, Mathematics, Computer Science, or similar field. - Experience in deploying Machine Learning solutions based on TensorFlow or equivalent tools. - Client-facing experience, with the ability to manage relationships with client data/engineering teams. - Experience leading teams. - Knowledge of Machine Learning models and techniques, including data cleansing, normalization, feature engineering, model training/validation, and automation. - Understanding of digital marketing and experience working with data to solve marketing problems including audience targeting, bidding, creatives optimization, and measurement and attribution.",https://www.mycareersfuture.sg/job/data-science-lead-large-customer-sales-singapore-google-asia-pacific-512c1b9885c48b7258df88fb03f575d4,South,Government support available
3,Data Science Engineer,ALLIANZ SE,Permanent,Executive,Others,"$5,000to$10,000",Monthly,"Allianz’s Data Science team is responsible for ensuring the company is well equipped with the skills and technology needed to build the next data-driven business model for insurance. The team runs multiple environment using continuous integration and deployment practice. We work side-by-side with the business to define the technical requirements and with the data scientists to implement scalable, production-ready API and infrastructure using best practices. We are seeking a customer-focused, passionate and driven Data Science Engineer with experience in developing Python-based API and cloud-based infrastructure. ●     Mastery of Python, or similar language. ●     Experience with Relational databases or NoSQL databases. ●     Proven understanding of the full software development lifecycle including testing, continuous integration, and deployment. ●     Excellent problem solving, critical thinking, and communication skills. ●     Solid grasp of computer science fundamentals including data structures and algorithms. ●     Understanding of machine learning techniques. ●     Proven ability to evaluate and apply new technologies in a short time. ●     Self-motivated, proactive, and solution-oriented. ●     Experience with cloud platform services desired. Description With the large volume of data which we will be leveraging, our job is to build and maintain proper data processing solution to bring reliable experiences for our customers. If you’re interested in being a part of a team that’s constantly learning and problem-solving, we’d love to talk with you. As a Data Science Engineer, you will work as part of the data science team in Allianz to lead the design and implementation of systems and tools to bring to life data products. You will be: ●     Developing and implementing production backend system to serve data products ●     Designing system and data architecture ●     Working with partners to integrate systems ●     Problem-solving and developing solutions at the intersection of data and systems ●     Innovating by recognizing opportunities for automation and tools improvements","RequirementsEducation & Experience BS or MS degree in computer science or equivalent field. Additional Requirements ●     Experience in building data science or data analysis tools a plus. ●     Machine learning background a plus. ●     Familiarity with Agile software development process, Test-Driven development and Continuous Integration a plus. ●     Familiarity with DevOps tools such as Ansible and Terraform a plus.",https://www.mycareersfuture.sg/job/data-science-engineer-allianz-se-01aac3fc60fdd18c440e224d1bb06f97,Central,
4,Presales Specialist - Data Science,SAP ASIA PTE. LTD.,Full Time,Professional,Consulting ,"$6,000to$8,000",Monthly,"PURPOSE AND OBJECTIVES We are looking for highly motivated and customer-focused individual to build Advanced Analytics and Data Science capabilities within Presales. In the context of Digital Transformation, customers are looking at unlocking value from extensive amounts of data generated by business applications, things & social interactions. SAP has the unique ability to partner with customers in this journey with the capabilities of the Data Management Platform powered by SAP HANA. The role of Advanced Analytics Expert and Data Scientist to co-innovate with customers in Asia Pacific & Japan in generating insights through their data using SAP Data Management Platform, architecting target solutions and creating a roadmap.   EXPECTATIONS AND TASKS This is a customer facing role & you will support the Market Units in APJ in driving the sales process by architecting big data solutions, creating insights  based on massive amounts of customer data using Advanced Analytics tools like SAP HANA, SAP Cloud Platform & SAP Leonardo Big Data & Machine Learning and create a long term roadmap for the customer  Understand the requirements by working with customers or Presales Specialists in the Market Units Work collaboratively to architect and implement data-science solutions, mapping the data processing flow from raw data or data stores, to identifying optimal data analytics approaches, to data visualization and working with users to optimize the user experience Support and coach developers who are involved in the project Presentation of solutions, architecture and roadmap to customers and help the account team to progress the deal Thought leadership on technology and ideation and creation of futuristic applications & reference architectures    EDUCATION AND QUALIFICATIONS / SKILLS AND COMPETENCIES  Bachelor or Masters degree in Computer Science Hands on experience in developing innovative applications using modern technology platforms and cloud infrastructures such as AWS, Azure, or SAP Cloud Platform Programming expertise in Java, Java Script, Python, R, HTML5 & web development frameworks like Spring & Play Data modeling in both SQL & NoSQL Databases Programming experience in HANA XS using the various capabilities like graph engine, text search, predictive etc Experience in Hadoop tool sets (HIVE, Spark, Kafka, MapReduce etc) Exposure to machine learning (Tensorflow, Scikit–learn, MLlib etc) Degree in Statistics, applied mathematics or operations research background is preferable Very high proficiency in customer communications, presentations and demonstration is required. Ability and willingness to undertake customer related travel on short notice. Fluency in English is a MUST, any other language an asset.     ","RequirementsWORK EXPERIENCE  >4 years of hands-on Full stack Applications / Solutions architecture, design and development   ",https://www.mycareersfuture.sg/job/presales-specialist-data-science-sap-asia-e29935b68cb10990b9920fead69107e7,South,
5,Senior / Data Engineer (Data Science Team),M1 LIMITED,Full Time,"Fresh/entry level, Executive, Senior Executive","Engineering, Information Technology, Others, Telecommunications","$3,500to$5,800",Monthly," Design, optimise/tune performance, maintain, monitor, diagnose, and troubleshoot the processes, data delivery, and other outputs and facets of the big data platform Prepare progress and activity reports on the platform’s status and health (e.g. SLAs, data quality) Develop ETL/architectural pipelines/packages/roadmaps for data migration/data collection across different databases and systems Analyse and create data elements/flows, dependencies and relationships, and physical/logical data models Collaborate and communicate with the data science team relating to business requirements Automate, productise, and document the parts of the data science lifecycle/workflow (e.g. training, testing, deployment) Design, develop, and deploy high performance, at-scale solutions/pipelines (e.g. batch, real-time) to process large volumes of varied data formats (e.g. structured/unstructured) Work on Agile/DevOps technologies, micro-services, and APIs Keep up with industry trends and best practices in data engineering and the telco business and share with the data science team ","Requirements Bachelor’s degree in Computer Science/Engineering, Applied Mathematics, Management Information Systems, or related field 2-3 years of relevant working experience; candidates without working experience who possess the right skills/ competencies and eager to learn are welcome to apply Strong understanding and experience working in GNU/Linux environments Previous experience in designing and developing data models, multiple data source integration, ETL pipelines, and using data wrangling tools in EDW and big data platforms Experience in designing/developing at-scale, high-throughput big data/machine learning systems and applications Knowledge of software engineering practices and the software development life cycle (e.g. coding standards, review, control, testing) Experience and knowledge in distributed data processing, streaming, and computation frameworks (e.g. Spark, Kafka, Sqoop, Flume) Experience in/with:   DevOps automation, configuration, containerisation and orchestration (e.g. Ansible, Kubernetes, Docker, Jenkins) Development using big data applications (e.g. HIVE, HBase, Impala) Object-oriented/object function scripting languages (e.g. Python, Java, C++, Scala) Relational SQL and NoSQL databases (e.g. Oracle, Postgres, Cassandra) Disaster recovery, backup, automated testing, migration, and deployment (e.g. on-prem, cloud) Utilizing web services, SOAP, REST, etc Development and collaboration tools (e.g. GIT, Jira) Managing and interacting with users and vendors   Familiarity with internet technologies and public clouds (e.g. SaaS, IaaS, PaaS, AWS, Google Cloud, Azure) Knowledge in the Telecom industry is an advantage Effective verbal and written communication with ability to write thorough and clear documentation ",https://www.mycareersfuture.sg/job/senior-data-engineer-m1-1fc844c78813223b095744286b52d2c2,West,Government support available
6,"Assistant Manager, Data Science",SCOOT TIGERAIR PTE. LTD.,Permanent,Professional,Others,"$4,000to$6,500",Monthly,"The main responsibility of the data science lead position is to drive, facilitate and manage artificial intelligence (AI) and machine learning (ML) development in Scoot. As a Data Science lead, you will develop AI solutions to challenging problems to drive Scoot’s business growth. You will also manage and own the entire end-to-end lifecycle of designing models, working closely with key internal and external stakeholders to design, build, implement and maintain AI solutions.   Responsibilities  Lead and manage AI and ML activities, and ensure alignment to business objectives and strategies Collaborate with stakeholders to identify AI opportunities that will drive new business initiatives and growth Develop algorithms and pragmatic solutions towards automation and optimisation Thought leader and trusted advisor in the analytics/data science/AI domain Assist in defining deliverables and distribution of the team's cycles for sprints in each product development cycle Work closely with a team of internal and external data analysts, data scientists, data engineers and business units for successful technical delivery of data science or AI models in commercial projects   ","Requirements Master’s degree in Computer Science, Data Science, Mathematics, Operations Research or similar field At least 3-5 years’ experience as a Data Scientist/Data Engineer or similar role Highly proficient and experienced in scripting languages and have rapid prototyping skills such as SQL, Python, Java Solid knowledge of Machine Learning and Artificial Intelligence Framework ecosystems and languages, such as TensorFlow Previous experience in recommending system and pricing optimisation models is a plus Familiarity with Google Cloud Platform, Big Query, Big Query ML is highly preferred Experience deploying large-scale machine learning systems in the cloud environment is a strong plus Willingness to learn and able to pick up new technology or new concepts fast Awareness of business objectives and ability to apply this understanding to recommend and implement product development for complex technical problems ",https://www.mycareersfuture.sg/job/assistant-manager-data-science-scoot-tigerair-fc46653b9a1c67d4f9a50be6547e82c7,East,Government support available
7,Data Science Consulting,Company Undisclosed,Permanent,Executive,Consulting ,"$5,000to$9,000",Monthly,"Our client is a strategy and management consulting firm specialized in Sales & Marketing for healthcare and life sciences companies. With offices in Paris and Singapore, we are a team of scientists, engineers and business experts applying a scientific approach and advanced technologies to Marketing, Sales and Human Resources across Commercial Strategy, Organization Design and Customer Excellence.   Role As a Data Science professional, you will help drive sales and solutioning of data science/analytics engagements, manage and/or supervise project delivery, mentor teams, build new capabilities, support/contribute to thought leadership and building new skills.  The candidate should be able to seamlessly work with Partners in positioning data science/analytical capabilities and with help of them drive and deliver data science/analytics engagement.","Requirements You should have strong consultative, business and communication skills in addition to quantitative ability. As well as be exposed to the challenges of using statistics in a business setting, such as incomplete data, biased data, low signal-to-noise ratios, high variance and multiple objective functions. Requires being creative and resourceful and will utilize traditional statistical methodologies as well as newer techniques from machine learning, computational statistics and data mining.    Qualification:  Degree in a relevant field like statistics, computer science or applied maths, physics or relevant subjects or experience in computer science, applied mathematics, or other quantitative/computational discipline. Strong background in statistical/machine learning concepts and calculations Experience with real data Innovative and strong analytical and algorithmic problem solvers Experience with scripting languages (e.g., Python, R) for orchestration and data manipulation Experience with statistical computing tools like R, SAS, and SPSS Data managemen experience, including SQL and experience manipulating structured and unstructured data sources for analysis. ",https://www.mycareersfuture.sg/job/data-science-consulting-f9f764d12974f48d7d205bf16a417566,,
8,Data Science Engineer,DATAROBOT SINGAPORE PTE. LTD.,Permanent,Professional,Information Technology,"$90,000to$150,000",Annually,"As a Data Science Engineer in DataRobot, you will work on our machine learning platform and actively contribute to the automation of data science best practices and the development of our state-of-the-art preprocessing, modeling and reporting capabilities. As a Data Science Engineer on our team, you will accelerate the process of engineering features to get the most out of multiple data sources and data types. The people you will work with own the entire feature learning experience for DataRobot, and is responsible for making sure our feature discovery automation and resulting models are the best in the world. You will build out Data Management and ETL system inside DataRobot utilizing distributed frameworks such as Spark, Hadoop and Kubernetes. You will build scalable solutions to process high data volumes, with the main focus on crafting robust components for data intake, cleanup and full variety of data transformation. You will also be responsible for designing and implementing features from start to finish, including clean and easy to use APIs, automated tests, and deployment infrastructure.",Requirements 5+ years of combined python Engineering / Data Science experience     Minimum 1 year of Engineering experience Minimum 1 year of Data Science experience   ,https://www.mycareersfuture.sg/job/data-science-engineer-datarobot-singapore-51a02f9c2b6cd9a12c4d34b71a9560ef,Central,Government support available
9,Data Science Analyst,DENTSU AEGIS NETWORK HUB2050,"Permanent, Full Time",Junior Executive,Sciences / Laboratory / R&D,"$4,000to$8,000",Monthly,"BACKGROUND: About Dentsu Aegis Network Dentsu Aegis Network helps clients build consumer relationships by communicating their products and brands effectively. Our distinctive and innovative range of products and services include marketing and communications strategies through digital marketing and creative execution, media planning and buying, creative services, technology applications, SEO, content creation, brand tracking and marketing analytics. Find out more about us at https://www.dentsuaegisnetwork.com/   About Dentsu Aegis Network’s Global Data Innovation Centre As the world of data continues to grow exponentially in the advent of connected devices, IoT, industrialised digitization of the economy and the way people move through digitized networks, Dentsu Aegis seeks to harness the power of data and transform this into intelligent applications, products and platforms.   The Dentsu Aegis Network Global Data Innovation Centre, hubbed in Singapore, is a strategic initiative to ensure that the Group stays at the forefront of the digital economy and develops global products which sit at the intersection of deep domain knowledge, consumer psychology, data and technology.   KEY ACCOUNTABILITIES: As a Data Science Analyst, you will work closely with the Data Scientists and the engineering team to develop leading edge data analytics solutions and capabilities that uncovers insights from vast amounts of structured and unstructured data, through a combination of research and experimentation.   On a day to day basis, your responsibilities can comprise of:  Apply quantitative methods and build statistically valid and scalable algorithms that convey actionable conclusions from very large datasets. You should be able to synthesize scientific publications on statistical applications and then write programs to implement the applications that are most suitable for our data. Complete tasks effectively and in a timely manner. ","Requirements​​We invite people passionate about data and artificial intelligence to join a growing team.  You have to be a self-starter, hands-on builder and collaborative team player. You can think on your feet, connect disparate dots, imagine connections and importantly, craft approaches to turn ideas and imagination into real capabilities, inspired by data. You are excited by your work going live in the market with clients and teams around the world. Desired Skills and Experience  1+ years of experience in applied data science. At least a Bachelor’s degree in Mathematics, Statistics, Computer Science, Engineering or Information Systems. Familiar with Python programming, including pandas and NumPy libraries. Working knowledge in machine learning / data mining. Highly logical, systematic, independent and fast learner. Self-starter and motivated. Confident, responsible and can proactively think of and implement solutions to tricky problems.​ ",https://www.mycareersfuture.sg/job/data-science-analyst-dentsu-aegis-network-hub2050-15b2789db707ae6384b9c8b168cd18d3,Central,Government support available
