,job_titles,companys,location,employment_type,gov_support,salary,salary_unit,links,industrys
0,Data Scientist,DATHENA SCIENCE PTE. LTD.,Central,Fresh/entry level ...,NA,"$5,000to$7,000",Monthly,https://www.mycareersfuture.sg/job/data-scientist-dathena-science-d6b14dc48052402107bc2261b53173d9,Engineering
1,Data Scientist,XYPHER PTE. LTD.,NA,Professional ...,NA,"$4,500to$6,000",Monthly,https://www.mycareersfuture.sg/job/data-scientist-xypher-67ddc86910fa153cc3fa5197cff8b11d,Information Technology
2,Junior Data Scientist,HUBBLE PTE. LTD.,North,Professional,NA,"$3,600to$7,100",Monthly,https://www.mycareersfuture.sg/job/junior-data-scientist-hubble-ea469ffbfdbf74a06767387a8c83c2d3,Information Technology
3,Data Scientist,PROPERTYGURU PTE. LTD.,Central,Executive ...,NA,"$7,000to$9,000",Monthly,https://www.mycareersfuture.sg/job/data-scientist-propertyguru-d4be4cc0a144ae612200804ff3033310,Information Technology
4,Data Scientist,PROPERTYGURU PTE. LTD.,Central,Fresh/entry level ...,NA,"$5,000to$7,000",Monthly,https://www.mycareersfuture.sg/job/data-scientist-propertyguru-b4bba92a8c91326eb85997fdd522818a,Information Technology
5,Data Scientist,AZENDIAN SOLUTIONS PTE. LTD.,NA,Manager,NA,"$8,000to$16,000",Monthly,https://www.mycareersfuture.sg/job/data-scientist-azendian-solutions-7cd339858db216372bcee150d25d2e64,Information Technology
6,Data Scientist,INFOCEPTS PTE. LTD.,East,Middle Management,NA,"$7,000to$10,000",Monthly,https://www.mycareersfuture.sg/job/data-scientist-infocepts-f5ec58e8489a1fa90be0fd24f05dfd97,Information Technology
7,Postdoctoral Fellow / Research Fellow (Data Analytics) / Data Scientist,NATIONAL UNIVERSITY OF SINGAPORE,South,Professional,NA,"$5,000to$6,500",Monthly,https://www.mycareersfuture.sg/job/postdoctoral-fellow-research-fellow-data-scientist-national-university-singapore-6d73c089695eca94fa8805c4cddd9f72,Sciences / Laboratory / R&D
8,Data Scientist,NIOMETRICS (PTE.) LTD.,East,Professional,NA,"$5,000to$10,000",Monthly,https://www.mycareersfuture.sg/job/data-scientist-niometrics-58df9d0a198b87cd09c6aafc33abc1b7,Information Technology
9,Data Scientist,NTUC ENTERPRISE NEXUS CO-OPERATIVE LIMITED,NA,Professional ...,NA,"$4,000to$7,000",Monthly,https://www.mycareersfuture.sg/job/data-scientist-ntuc-enterprise-nexus-co-operative-892da7cd8e95ca26dd6d96a07bea58c9,Information Technology ...
