,job_titles,companys,location,employment_type,gov_support,salary,salary_unit,links,industrys
0,Big data Presales,IMPERIUM SOLUTIONS PTE. LTD.,Islandwide,Executive,NA,"$3,500to$6,000",Monthly,https://www.mycareersfuture.sg/job/big-data-presales-imperium-solutions-39f3e3dfa822217862108cbda95ddb4e,Information Technology
1,Big Data Engineer,BIOFOURMIS SINGAPORE PTE. LTD.,West,Senior Executive,NA,"$5,200to$6,700",Monthly,https://www.mycareersfuture.sg/job/big-data-engineer-biofourmis-singapore-da5fe40ce8998abe2e3646825351e2ae,Engineering
2,Big Data Architect,AVENSYS CONSULTING PTE. LTD.,Islandwide,Professional,NA,"$6,000to$8,500",Monthly,https://www.mycareersfuture.sg/job/big-data-architect-avensys-consulting-52bb74382edafc11e7a65f306a360515,Information Technology
3,"Pre-sales Consultant - Big Data (5 days, Orchard, $5000)",MACHSPEED HUMAN RESOURCES PTE. LTD.,Central,Professional,NA,"$4,000to$5,000",Monthly,https://www.mycareersfuture.sg/job/pre-sales-consultant-big-data-machspeed-human-resources-b8c2264d833d55e8611c7d0a12b4ee2f,Information Technology
4,"Pre-sales Consultant - Big Data (5 days, Orchard, $5000)",MACHSPEED HUMAN RESOURCES PTE. LTD.,Central,Professional,NA,"$4,000to$5,000",Monthly,https://www.mycareersfuture.sg/job/pre-sales-consultant-big-data-machspeed-human-resources-ad3efea2b04a67429a8a3cf94f7701e7,Information Technology
5,"VP, BigData Engineer, Group Consumer Banking and Big Data Analytics Technology (WD00469)",DBS BANK LTD.,NA,Manager ...,NA,"$10,400to$18,700",Monthly,https://www.mycareersfuture.sg/job/vp-bigdata-engineer-group-consumer-banking-big-data-analytics-technology-dbs-bank-b1d40ffc9505df1d47e38f59e670bd5a,Banking and Finance
6,Openings for  Big data,SAKSOFT PTE LIMITED,South,Senior Executive,NA,"$6,000to$10,000",Monthly,https://www.mycareersfuture.sg/job/openings-big-data-saksoft-6c3a1bf260370cb654add1b1787372af,Information Technology
7,Infrastructure Development - Big Data,"JPMORGAN CHASE BANK, N.A.",NA,Senior Executive,NA,"$7,500to$15,000",Monthly,https://www.mycareersfuture.sg/job/infrastructure-development-big-data-jpmorgan-chase-bank-na-50fe6765001864fb32896305b80cf9bc,Information Technology
8,Infrastructure Development - Big Data,"JPMORGAN CHASE BANK, N.A.",NA,Executive,NA,"$7,000to$14,000",Monthly,https://www.mycareersfuture.sg/job/infrastructure-development-big-data-jpmorgan-chase-bank-na-7422644b462f62e352638b7063ba8bca,Information Technology
9,"Senior Associate, FullStack Developer, Group Consumer Banking and Big Data Analytics Technology, T&O",DBS BANK LTD.,East,Senior Executive,NA,"$5,000to$10,000",Monthly,https://www.mycareersfuture.sg/job/senior-associate-fullstack-developer-group-consumer-banking-big-data-analytics-technology-to-dbs-bank-dc32ef7f05001b240808c57ae344e548,Information Technology
10,Big Data Developer,VUI SYSTEMS PTE. LTD.,Islandwide,Professional,NA,"$7,500to$10,000",Monthly,https://www.mycareersfuture.sg/job/big-data-developer-vui-systems-012718aa8af5a1f88c4da289048934fb,Information Technology
11,Senior Developer (Big Data),MCI CAREER  SERVICES PTE. LTD.,Islandwide,Senior Executive,NA,"$8,000to$15,000",Monthly,https://www.mycareersfuture.sg/job/senior-developer-mci-career-services-b5d6789693b386acd5c7fff5ed4ab86f,Information Technology
12,"SVP, Security Architect, Group Consumer Banking and Big Data Analytics Technology, T&O (WD02452)",DBS BANK LTD.,East,Senior Management,NA,"$10,000to$20,000",Monthly,https://www.mycareersfuture.sg/job/svp-security-architect-group-consumer-banking-big-data-analytics-technology-to-dbs-bank-bbddd704ac0cdbdd6de23f5dcfc13a21,Information Technology
13,"VP, Security Architect, Group Consumer Banking and Big Data Analytics Technology, T&O (WD02452)",DBS BANK LTD.,East,Senior Management,NA,"$10,400to$18,700",Monthly,https://www.mycareersfuture.sg/job/vp-security-architect-group-consumer-banking-big-data-analytics-technology-to-dbs-bank-68d23c9387429e8c731a3bfe768d9e94,Information Technology
14,Field Operation Engineer - Big Data Engineer,DATHENA SCIENCE PTE. LTD.,NA,Executive,NA,"$2,000to$5,000",Monthly,https://www.mycareersfuture.sg/job/field-operation-engineer-big-data-engineer-dathena-science-817389eb9f9b7b01508fe9331f4d526f,Engineering
15,"Software Engineer (Analytics, Big Data)",KNOREX PTE. LTD.,Central,Executive,NA,"$3,000to$4,500",Monthly,https://www.mycareersfuture.sg/job/software-engineer-knorex-b9842b8d076c944d83d5cf7e0c25e553,Advertising / Media 
16,Data Engineer - SQL  /  Big Data  /  Java,DENODO TECHNOLOGIES PTE. LTD.,NA,Professional,NA,Salary undisclosed,,https://www.mycareersfuture.sg/job/data-engineer-sql-big-data-java-denodo-technologies-cfe51cc03bee7d249ecf83fde7a21e8d,Engineering ...
17,Big Data Consultant,ITCAN PTE. LIMITED,Islandwide,Manager,NA,"$5,000to$10,000",Monthly,https://www.mycareersfuture.sg/job/big-data-consultant-itcan-724b6d7476f12057da5b8b8ce3fb25e5,Information Technology
18,Big Data Developer,ASIACLOUD SOLUTIONS PRIVATE LIMITED,NA,Manager ...,NA,"$6,500to$8,500",Monthly,https://www.mycareersfuture.sg/job/big-data-developer-asiacloud-solutions-25b29adc5986a157d2d9f26a9489082d,Information Technology
19,Big Data Architect,ITCAN PTE. LIMITED,Islandwide,Professional,NA,"$6,000to$12,000",Monthly,https://www.mycareersfuture.sg/job/big-data-architect-itcan-678ef643c3a915ec8626d7153dd7cee4,Information Technology
20,Big Data Developer,TALENT TRADER GROUP PTE. LTD.,Islandwide,Junior Executive,NA,"$5,000to$7,000",Monthly,https://www.mycareersfuture.sg/job/big-data-developer-talent-trader-group-527fa219b8f1e373dbbbf2003bf46d52,Information Technology
21,Big Data DevOps Engineer,EPAM SYSTEMS PTE. LTD.,South,Professional,NA,"$8,000to$13,000",Monthly,https://www.mycareersfuture.sg/job/big-data-devops-engineer-epam-systems-29bfe26a52f62af06e29442885cc4f31,Information Technology
22,"SVP, Program Manager, Group Consumer Banking and Big Data Analytics Technology, T&O (WD00448)",DBS BANK LTD.,East,Senior Management,NA,"$10,000to$20,000",Monthly,https://www.mycareersfuture.sg/job/svp-program-manager-group-consumer-banking-big-data-analytics-technology-to-dbs-bank-a8fbc13a7d9ff88ed44c5b946d7bba5c,Information Technology
23,"VP, Program Manager, Group Consumer Banking and Big Data Analytics Technology, T&O (WD00448)",DBS BANK LTD.,East,Senior Management,NA,"$10,400to$18,700",Monthly,https://www.mycareersfuture.sg/job/vp-program-manager-group-consumer-banking-big-data-analytics-technology-to-dbs-bank-6602aa10adf29c63667349a6a812d215,Information Technology
24,"AVP, Production Suppt Mgr (Ecosystem / Mktplc), Grp Consumer Bank'g & Big Data Analytics Tech (WD00447",DBS BANK LTD.,Central,Professional,NA,"$6,500to$11,700",Monthly,https://www.mycareersfuture.sg/job/avp-production-suppt-mgr-grp-consumer-bankg-big-data-analytics-tech-wd00447-dbs-bank-47397d374b09e64d4239e804709f9ae1,Banking and Finance
25,"VP, Production Suppt Mgr (Ecosystem / Mktplc), Grp Consumer Bank'g & Big Data Analytics Tech (WD00447)",DBS BANK LTD.,Central,Professional,NA,"$10,400to$18,700",Monthly,https://www.mycareersfuture.sg/job/vp-production-suppt-mgr-grp-consumer-bankg-big-data-analytics-tech-dbs-bank-b365d56a0946d4259e0a13b14939928d,Banking and Finance
26,"VP / AVP, Wealth Mgmt Technical Business Analyst, Grp Consumer Banking & Big Data Analytics (WD00463)",DBS BANK LTD.,NA,Middle Management ...,NA,"$7,000to$14,000",Monthly,https://www.mycareersfuture.sg/job/vp-avp-wealth-mgmt-technical-business-analyst-grp-consumer-banking-big-data-analytics-dbs-bank-8e29f6fd2978c31394cddbb403683fa7,Banking and Finance
27,Senior Database Consultant - Big Data Engineer,PALO IT SINGAPORE PTE. LTD.,Central,Professional,NA,"$6,000to$12,000",Monthly,https://www.mycareersfuture.sg/job/senior-database-consultant-big-data-engineer-palo-singapore-3457c8d2b5a325c08dd1464799c45875,Information Technology
28,Senior Database Consultant - Big Data Engineer,PALO IT SINGAPORE PTE. LTD.,Central,Professional,NA,"$6,000to$12,000",Monthly,https://www.mycareersfuture.sg/job/senior-database-consultant-big-data-engineer-palo-singapore-705c8891b878db36611d27e4aaae5c2e,Information Technology
29,Senior Database Consultant - Big Data Engineer,PALO IT SINGAPORE PTE. LTD.,Central,Professional,NA,"$6,000to$12,000",Monthly,https://www.mycareersfuture.sg/job/senior-database-consultant-big-data-engineer-palo-singapore-a5c4c29bbf0aee683038d5e538eb60e5,Information Technology
30,Big Data (HIVE) Engineer – 12 Months Renewable Contract,ALLEGIS GROUP SINGAPORE PRIVATE LIMITED,East,Junior Executive,NA,"$6,000to$12,000",Monthly,https://www.mycareersfuture.sg/job/big-data-engineer-%E2%80%93-12-months-renewable-contract-allegis-group-singapore-a0baf33878df1722e55e1a6d3e029087,Information Technology
31,Hadoop (Big Data) Administrator,INVOSYSTEMS SOLUTIONS PTE. LTD.,NA,Professional,NA,"$4,000to$6,500",Monthly,https://www.mycareersfuture.sg/job/hadoop-administrator-invosystems-solutions-7c510f95bdf5390a7c559de4f7071dcc,Information Technology
32,Hadoop (Big Data) Administrator,INVOSYSTEMS SOLUTIONS PTE. LTD.,NA,Professional,NA,"$4,000to$6,500",Monthly,https://www.mycareersfuture.sg/job/hadoop-administrator-invosystems-solutions-436f68560e11326eee3d5e897e484ff2,Information Technology
33,Software Engineer (Big Data),ENCORA TECHNOLOGIES PTE. LTD.,"East, Central",Executive,NA,"$6,000to$10,000",Monthly,https://www.mycareersfuture.sg/job/software-engineer-encora-technologies-1593aa669d6deccaf2974454dde11baa,Banking and Finance
34,Java Big Data Developer,HYDROGEN CONSULTING SOLUTIONS PTE. LTD.,"South, Central",Professional,NA,"$5,200to$6,700",Monthly,https://www.mycareersfuture.sg/job/java-big-data-developer-hydrogen-consulting-solutions-15730f38df9fc456229cbe57f246f328,Information Technology
35,Senior Java Big Data Developer,HYDROGEN CONSULTING SOLUTIONS PTE. LTD.,"South, Central",Professional,NA,"$8,000to$10,000",Monthly,https://www.mycareersfuture.sg/job/senior-java-big-data-developer-hydrogen-consulting-solutions-847de0e52ad7eff2645a06b355fe7276,Information Technology
36,Java Big Data Developer,HYDROGEN CONSULTING SOLUTIONS PTE. LTD.,"South, Central",Professional,NA,"$6,000to$8,000",Monthly,https://www.mycareersfuture.sg/job/java-big-data-developer-hydrogen-consulting-solutions-f19e84730294eb481eb4dceeccecbac2,Information Technology
37,Big Data Developer,ANOTECH ENERGY SINGAPORE PTE. LTD.,Islandwide,Executive,NA,"$2,000to$7,500",Monthly,https://www.mycareersfuture.sg/job/big-data-developer-anotech-energy-singapore-62f0d551405c5132e3d04dfe2bd9f89b,Information Technology
38,Big Data SME / Lead,INVOSYSTEMS SOLUTIONS PTE. LTD.,NA,Professional,NA,"$5,000to$7,500",Monthly,https://www.mycareersfuture.sg/job/big-data-sme-lead-invosystems-solutions-866b2e3debca477c15a43bc5c0fae447,Information Technology
39,Senior / Principal Infocomm Specialist (Data & Analytics Architecture),Inland Revenue Authority of Singapore,NA,Professional,NA,"$4,000to$9,100",Monthly,https://www.mycareersfuture.sg/job/senior-principal-infocomm-specialist-inland-revenue-authority-singapore-c1313b30ad86fda2ced8dbd4da8f6a68,Information Technology ...
40,Senior Data Engineer (Data Science and Artificial Intelligence),Maritime and Port Authority of Singapore,NA,Executive,NA,Salary undisclosed,,https://www.mycareersfuture.sg/job/senior-data-engineer-maritime-port-authority-singapore-5e04d9fe6a97ad7bd5cb86353a193535,Public / Civil Service
41,"Vice President, Enterprise Data Warehouse",NTUC ENTERPRISE CO-OPERATIVE LTD,NA,Middle Management,NA,"$8,000to$13,000",Monthly,https://www.mycareersfuture.sg/job/vice-president-enterprise-data-warehouse-ntuc-enterprise-co-operative-8665ecf7141bbb28e1802a8365c4e250,Education and Training ...
42,System Engineer (Hadoop),PTC SYSTEM (S) PTE LTD,Central,Executive,NA,"$3,000to$4,000",Monthly,https://www.mycareersfuture.sg/job/system-engineer-ptc-system-1ce7845f2d4b33a6cf570ee4307ab8a7,Professional Services
43,People soft ERP Finance Technical Consultant,SANDBOX CONSULTING PTE. LTD.,Islandwide,Senior Executive,NA,"$7,000to$8,000",Monthly,https://www.mycareersfuture.sg/job/people-soft-erp-finance-technical-consultant-sandbox-consulting-581e474f197b6cb7a9b1ca72ec638c2f,Information Technology
