,job_titles,companys,employment_type,seniority,industrys,salary,salary_terms,job_descriptions,job_requirements,links,location,gov_support
0,Big data Presales,IMPERIUM SOLUTIONS PTE. LTD.,Full Time,Executive,Information Technology,"$3,500to$6,000",Monthly,"1) Study business and application specific requirements, review corporate technology to design and implement the big data architecture and solution to meet business requirements. 2) Responsible for drafting scope of work for big data related projects 3) Provide big data analysis consultancy and advisory to customers in the areas of cyber security, application monitoring, networking monitoring, infrastructure monitoring or business analytics. 4) Conduct proof of concept/value on big data analytics related solution 5) Responsible for technical solution presentation to the customer 6) Perform scripting related tasks during POV","RequirementsMust have: 1) At least 03 years of IT related working experience 2) Comfortable in scripting and programming 3) Proven record and share examples of working as a team player  Attributes: 1) Pro-active, dynamic, dedicated and responsible self-starter with strong customer orientation and multi-tasking capabilities  Good to have: 1) Knowledge in networking, windows servers and Linux servers 2) Knowledge in Cybersecurity related solutions 3) CEH, ECSA and CISSP certification would be advantageous 4) Experience working as Security Analyst",https://www.mycareersfuture.sg/job/big-data-presales-imperium-solutions-39f3e3dfa822217862108cbda95ddb4e,Islandwide,Government support available
1,Big Data Engineer,BIOFOURMIS SINGAPORE PTE. LTD.,Permanent,Senior Executive,Engineering,"$5,200to$6,700",Monthly,"We are looking for a savvy Data Engineer to join our growing team of analytics experts. The candidate will be responsible for expanding and optimizing our data and data pipeline architecture, as well as optimizing data flow and collection for cross functional teams. The ideal candidate is an experienced data pipeline builder and data wrangler who enjoys optimizing data systems and building them from the ground up. The Data Engineer will support our software developers, database architects, data analysts and data scientists on data initiatives and will ensure optimal data delivery architecture is consistent throughout ongoing projects. The right candidate will be excited by the prospect of optimizing or even re-designing our company’s data architecture to support our next generation of products and data initiatives. Responsibility:  Create and maintain optimal data pipeline architecture in AWS cloud Assemble large, complex data sets that meet business requirements. Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc. Build the infrastructure required for optimal ETL of data from a wide variety of data sources using SQL and AWS big data technologies. Build analytics tools that utilize the data pipeline to provide actionable insights into customer acquisition, operational efficiency and other key business performance metrics. Work with stakeholders including the Executive, Product, Data and Design teams to assist with data-related technical issues and support their data infrastructure needs. Keep our data secure across national boundaries through multiple AWS regions. Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader. Work with data and analytics experts to strive for greater functionality in our data systems. ","Requirements~  Advanced working SQL knowledge and experience working with relational databases  Strong analytic skills related to working with unstructured datasets Experience building and optimizing ‘big data’ data pipelines, architectures and data sets. Build processes supporting data transformation, data structures, metadata, dependency and workload management. Working knowledge of message queuing, stream processing, and highly scalable ‘big data’ data stores. Strong project management and organizational skills. Experience supporting and working with cross-functional teams in a dynamic environment. 5+ years of experience in a Data Engineer role with degree in Computer Science, Statistics, Informatics, Information Systems or another quantitative field.  ",https://www.mycareersfuture.sg/job/big-data-engineer-biofourmis-singapore-da5fe40ce8998abe2e3646825351e2ae,West,Government support available
2,Big Data Architect,AVENSYS CONSULTING PTE. LTD.,Permanent,Professional,Information Technology,"$6,000to$8,500",Monthly," At least 6 years of experience in big data development focusing on designing, developing and integrating applications At least 6 years of data mining and machine learning on large amount of data, building and implementing various statistical and predictive models Good understanding of technology tools especially those related to analytics, data & statistical modelling. Very strong experience in creating big data applications and handling a large amount of data. Strong ability to deliver architectural artefacts such as reference architectures, high-level design, conceptual diagrams. Experience in dealing with Big Data - from collection to extraction, processing and modeling Designed, architect and deployed Hadoop ecosystem for a stable and efficient application layer integration. Deep experience with distributed systems, large scale non-relational data stores, MapReduce systems, data modelling, database performance, and multi-terabyte data warehouses. Experience with a programming language such as Python or C++. Experience with NoSQL, ETL, Hive, and Pig. Proficient in using databases like Teradata, Oracle, SQL Server, Neo4J, etc. Experience in machine learning techniques and algorithms such as LightGBM, XGBoost, ensemble and stacking methods, etc. will be advantageous Experience in natural language processing (NLP) which includes natural language generation, voice to text and text to voice processing and image processing using machine learning techniques will be advantageous Understanding or have prior experience of Geospatial Analysis, TensorFlow, Sklearn, OpenNI or OpenCV will be an added advantage Good understanding on artificial intelligence will be advantageous Ability to communicate complex analysis/models across a diverse team A highly motivated self-starter who possess positive mindset, a doer mentality, proactive and good communication skills ","Requirements At least 6 years of experience in big data development focusing on designing, developing and integrating applications At least 6 years of data mining and machine learning on large amount of data, building and implementing various statistical and predictive models ",https://www.mycareersfuture.sg/job/big-data-architect-avensys-consulting-52bb74382edafc11e7a65f306a360515,Islandwide,Government support available
3,"Pre-sales Consultant - Big Data (5 days, Orchard, $5000)",MACHSPEED HUMAN RESOURCES PTE. LTD.,Permanent,Professional,Information Technology,"$4,000to$5,000",Monthly,"Pre-sales Consultant - Big Data (5 days, Orchard, $5000) Job Responsibilities  Responsible to consult and advise suitable solution in the area of analytics and related technologies Design and implement the architecture of big data that meets business requirements Create and draft scope of work for big data project Work with internal teams closely and provide proof of concept for analytics projects Prepare and conduct presentation for various projects   ","RequirementsRequirements  Minimum Degree/Diploma in Computer Science, Engineering or IT with at least 3 years of relevant experience Hands-on experience in scripting/programming Possess knowledge in Networking and Servers(Windows and Linux) Possess CEH/ECSA/CISSP/ECSA/CompTIA Security+ certification will be an added advantage Working hours: 9am - 6pm, Mondays to Fridays Salary range: $5000  We thank you for your interest in this position, applicants with relevant experience please send Microsoft word resume with expected salary to hr @machspeed.com.sgfor faster processing. Alternatively, please visit http://www.facebook.com/MachspeedHR for more jobs available, thank you. Shortlisted candidates will be contacted for interview session via phone. Thank you very much. Agency License No. 12C6200 / EA Personnel No.: R1548977",https://www.mycareersfuture.sg/job/pre-sales-consultant-big-data-machspeed-human-resources-b8c2264d833d55e8611c7d0a12b4ee2f,Central,Government support available
4,"Pre-sales Consultant - Big Data (5 days, Orchard, $5000)",MACHSPEED HUMAN RESOURCES PTE. LTD.,Permanent,Professional,Information Technology,"$4,000to$5,000",Monthly,"Pre-sales Consultant - Big Data (5 days, Orchard, $5000) Job Responsibilities  Responsible to consult and advise suitable solution in the area of analytics and related technologies Design and implement the architecture of big data that meets business requirements Create and draft scope of work for big data project Work with internal teams closely and provide proof of concept for analytics projects Prepare and conduct presentation for various projects   ","RequirementsRequirements  Minimum Degree/Diploma in Computer Science, Engineering or IT with at least 3 years of relevant experience Hands-on experience in scripting/programming Possess knowledge in Networking and Servers(Windows and Linux) Possess CEH/ECSA/CISSP/ECSA/CompTIA Security+ certification will be an added advantage Working hours: 9am - 6pm, Mondays to Fridays Salary range: $5000  We thank you for your interest in this position, applicants with relevant experience please send Microsoft word resume with expected salary to hr @machspeed.com.sgfor faster processing. Alternatively, please visit http://www.facebook.com/MachspeedHR for more jobs available, thank you. Shortlisted candidates will be contacted for interview session via phone. Thank you very much. Agency License No. 12C6200 / EA Personnel No.: R1548977",https://www.mycareersfuture.sg/job/pre-sales-consultant-big-data-machspeed-human-resources-ad3efea2b04a67429a8a3cf94f7701e7,Central,Government support available
5,"VP, BigData Engineer, Group Consumer Banking and Big Data Analytics Technology (WD00469)",DBS BANK LTD.,"Permanent, Full Time","Manager, Professional",Banking and Finance,"$10,400to$18,700",Monthly,"As a Senior Data Engineer you'll be a Machine Learning and Data Engineering Specialist and help us discover the information hidden in vast amounts of data. You'll help us make smarter decisions to deliver even better products and apply data mining techniques and statistical analysis to build high quality prediction systems integrated with our products.   Responsibilities   Design and implement key components for highly scalable, distributed data collection and analysis system built for handling petabytes of data in the cloud.  Move architecture and implementation through the development pipeline, from research to deployment Work with architects from other divisions contributing to this analytics system and mentor team members on best practices in backend infrastructure and distributed computing topics.  Analyze source data and data flows, working with structured and unstructured data. Manipulate high-volume, high-dimensionality data from varying sources to highlight patterns, anomalies, relationships and trends Analyze and visualize diverse sources of data, interpret results in the business context and report results clearly and concisely. Apply data mining, NLP, and machine learning (both supervised and unsupervised) to improve relevance and personalization algorithms. Work side-by-side with product managers, software engineers, and designers in designing experiments and minimum viable products. Build and optimize classifiers using machine learning techniques and enhance data collection procedures that is relevant for building analytic systems. Discover data sources, get access to them, import them, clean them up, and make them “model-ready”. You need to be willing and able to do your own ETL. Create and refine features from the underlying data. You’ll enjoy developing just enough subject matter expertise to have an intuition about what features might make your model perform better, and then you’ll lather, rinse and repeat. Run regular A/B tests, gather data, perform statistical analysis, draw conclusions on the impact of your optimizations and communicate results to peers and leaders. ","Requirements 10+ years of Experience in one or more areas of big data and machine learning The ability to work with loosely defined requirements and exercise your analytical skills to clarify questions, share your approach and build/test elegant solutions in weekly sprint/release cycles. Development experience in Java/Scala and pride in producing clean, maintainable code Practical experience in clustering high dimensionality data using a variety of approaches Real world experience in solving business problems by deploying one or more machine learning techniques Experience creating pipelines to analyze data, extracted features and updated models in production. Independence and self-reliance while being a pro-active team player with excellent communication skills. Hands-on development with key technologies including Scala, Spark, and other relevant distributed computing languages, frameworks, and libraries.  Experience with distributed databases, such as Cassandra, and the key issues affecting their performance and reliability.  Experience using high-throughput, distributed message queueing systems such as Kafka. Familiarity with operational technologies, including Docker (required), Chef, Puppet, ZooKeeper, Terraform, and Ansible (preferred).  An ability to periodically deploy systems to on-prem environments.  Mastery of key development tools such as GIT, and familiarity with collaboration tools such as Jira and Confluence or similar tools.  Experience with Teradata SQL, Exadata SQL, T-SQL Strong experience in graph and stream processing Experience in migrating SQL from traditional RDBMS to Spark and BigData technologies Experience in building language parsers using ANTLR, query optimizers and automatic code generation In-depth knowledge of database internals and Spark SQL Catalyst engine ",https://www.mycareersfuture.sg/job/vp-bigdata-engineer-group-consumer-banking-big-data-analytics-technology-dbs-bank-b1d40ffc9505df1d47e38f59e670bd5a,,Government support available
6,Openings for  Big data,SAKSOFT PTE LIMITED,Permanent,Senior Executive,Information Technology,"$6,000to$10,000",Monthly," Experience in supporting Big Data initiatives in areas such as cloud computing, data analytics and distributed computing Should have good experience on Spark, SQL Experience in network integration and maintenance, and appreciation othe operational concerns affecting network implementations  Good understanding of network security such as hardening and functionalities of firewalls and intrusion prevention/detection systems; Familiar with hosting preparation in data centres to support system implementation activities; andWorking knowledge of server and storage technologies, standards and best practices involving set-up and virtualisation of Windows ","RequirementsMust have Skills: 1.       HDFS 2.       HIVE 3.       Spark  with Scala or Java – prefer Scala 4.       SQl 5.       Shell scripting 6.       Experience: 3-5 years Nice to Have: Informatica BDM or at least willing to learn Banking experience Others: Programming background, team players, good",https://www.mycareersfuture.sg/job/openings-big-data-saksoft-6c3a1bf260370cb654add1b1787372af,South,Government support available
7,Infrastructure Development - Big Data,"JPMORGAN CHASE BANK, N.A.","Permanent, Full Time",Senior Executive,Information Technology,"$7,500to$15,000",Monthly,"Our Global Technology Infrastructure group is a team rewarded with innovators who love technology as much as you do. Together, you’ll use a disciplined, innovative and a business focused approach to develop a wide variety of high-quality products and solutions. You’ll work in a stable, resilient and secure operating environment where you—and the products you deliver—will thrive. As an experienced Infrastructure Development professional, your mission is to help lead our team of innovators and technologists toward creating next-level solutions that improve the way our business is run. Your hands-on knowledge in system design, application development, testing and operational stability will help your team deliver high quality products. You’ll be instrumental in solving more difficult technical issues, developing integration elements, building data models, APIs, and open 3rd-party SDKs. You’ll see your ideas come to life as part of a small, success-driven team. Your quest to embracing leading-edge technologies and methodologies inspires your team to follow suit. And best of all, you’ll be able to harness massive amounts of brainpower through our global network of technologists from around the world to tackle big challenges. Key Responsibilities will include design and implementation of enterprise grade solutions for technical data management, including data sourcing, ingestion, persistence, and presentation – while ensuring quality of deliverables and adhering to standards in areas of code quality, secure coding, test coverage, monitoring, logging, exception management, operability and maintainability. You will be expected to excel and lead in a team environment, demonstrate strong interpersonal skills, collaborate and build relationships with other development teams, operations partners and business clients.","Requirements  This role requires a wide variety of strengths and capabilities, including: •BS/BA degree or equivalent experience •Provide technical expertise throughout the software lifecycle including design, implementation and delivery. •Understanding cloud , virtualization, APIs, and modern software languages •Software development experience in one or more general purpose programming languages: Java, Python, C, C++, GoExperience with developing frameworks that helps increasing developer and release velocity, improving code health and technical standards •Advanced experience working with two or more from the following: web application development,  database, unix/linux environments, distributed and parallel systems, information retrieval, networking, large scale software development, security software development •Understanding or have experience with agile and lean philosophies •Strong critical thinking and problem solving skills with clear communication •Ability to collaborate with different roles to achieve common goals •Minimum 10 years of hands-on full development lifecycle experience (preferably on Java based platforms) with extensive experience in designing and developing large scale, mission critical enterprise grade software. Experience with debugging, performance profiling and optimization. •Minimum 4 years experience with big data/NoSQL (Hive/Hbase/Solr/Spark/Cassandra/elasticsearch) – including understanding of cluster-topology and sharding/partitioning. •Possess at least 3 years of message driven development (Kafka or Tibco EMS, MQ) experience for high volume based platforms and scalable distributed systems •Experience in highly scalable REST/web service, caching servers, SOAP, HTTPS. When you work at JPMorgan Chase & Co., you’re not just working at a global financial institution. You’re an integral part of one of the world’s biggest tech companies. In 14 technology hubs worldwide, our team of 40,000+ technologists design, build and deploy everything from enterprise technology initiatives to big data and mobile solutions, as well as innovations in electronic payments, cybersecurity, machine learning, and cloud development. Our $9.5B+ annual investment in technology enables us to hire people to create innovative solutions that will not only transform the financial services industry, but also change the world.   At JPMorgan Chase & Co. we value the unique skills of every employee, and we’re building a technology organization that thrives on diversity.  We encourage professional growth and career development, and offer competitive benefits and compensation.  If you’re looking to build your career as part of a global technology team tackling big challenges that impact the lives of people and companies all around the world, we want to meet you.  We strongly encourage all applicants to apply via our careers website where you are able join our Talent Network to receive customized vacancy notifications and ensure that your details are accessible by our global recruiting team - www.jpmorganchase.com/careers. A quick link to this particular job posting can be found in this URL: http://jobs.jpmorganchase.com/ListJobs/ByKeyword/180105195/ Please note that only short-listed candidates will be notified. We thank you for your interest and wish you all the best in your career. Yours Sincerely, Human Resources JPMorgan",https://www.mycareersfuture.sg/job/infrastructure-development-big-data-jpmorgan-chase-bank-na-50fe6765001864fb32896305b80cf9bc,,Government support available
8,Infrastructure Development - Big Data,"JPMORGAN CHASE BANK, N.A.","Permanent, Full Time",Executive,Information Technology,"$7,000to$14,000",Monthly,"Our Global Technology Infrastructure group is a team rewarded with innovators who love technology as much as you do. Together, you’ll use a disciplined, innovative and a business focused approach to develop a wide variety of high-quality products and solutions. You’ll work in a stable, resilient and secure operating environment where you—and the products you deliver—will thrive. As an experienced Infrastructure Development professional, your mission is to help lead our team of innovators and technologists toward creating next-level solutions that improve the way our business is run. Your hands-on knowledge in system design, application development, testing and operational stability will help your team deliver high quality products. You’ll be instrumental in solving more difficult technical issues, developing integration elements, building data models, APIs, and open 3rd-party SDKs. You’ll see your ideas come to life as part of a small, success-driven team. Your quest to embracing leading-edge technologies and methodologies inspires your team to follow suit. And best of all, you’ll be able to harness massive amounts of brainpower through our global network of technologists from around the world to tackle big challenges. Key Responsibilities will include design and implementation of enterprise grade solutions for technical data management, including data sourcing, ingestion, persistence, and presentation – while ensuring quality of deliverables and adhering to standards in areas of code quality, secure coding, test coverage, monitoring, logging, exception management, operability and maintainability. You will be expected to excel and lead in a team environment, demonstrate strong interpersonal skills, collaborate and build relationships with other development teams, operations partners and business clients.","Requirements  This role requires a wide variety of strengths and capabilities, including: •BS/BA degree or equivalent experience •Provide technical expertise throughout the software lifecycle including design, implementation and delivery. •Understanding cloud , virtualization, APIs, and modern software languages •Software development experience in one or more general purpose programming languages: Java, Python, C, C++, GoExperience with developing frameworks that helps increasing developer and release velocity, improving code health and technical standards •Advanced experience working with two or more from the following: web application development,  database, unix/linux environments, distributed and parallel systems, information retrieval, networking, large scale software development, security software development •Understanding or have experience with agile and lean philosophies •Strong critical thinking and problem solving skills with clear communication •Ability to collaborate with different roles to achieve common goals •Minimum 10 years of hands-on full development lifecycle experience (preferably on Java based platforms) with extensive experience in designing and developing large scale, mission critical enterprise grade software. Experience with debugging, performance profiling and optimization. •Minimum 4 years experience with big data/NoSQL (Hive/Hbase/Solr/Spark/Cassandra/elasticsearch) – including understanding of cluster-topology and sharding/partitioning. •Possess at least 3 years of message driven development (Kafka or Tibco EMS, MQ) experience for high volume based platforms and scalable distributed systems •Experience in highly scalable REST/web service, caching servers, SOAP, HTTPS. When you work at JPMorgan Chase & Co., you’re not just working at a global financial institution. You’re an integral part of one of the world’s biggest tech companies. In 14 technology hubs worldwide, our team of 40,000+ technologists design, build and deploy everything from enterprise technology initiatives to big data and mobile solutions, as well as innovations in electronic payments, cybersecurity, machine learning, and cloud development. Our $9.5B+ annual investment in technology enables us to hire people to create innovative solutions that will not only transform the financial services industry, but also change the world.   At JPMorgan Chase & Co. we value the unique skills of every employee, and we’re building a technology organization that thrives on diversity.  We encourage professional growth and career development, and offer competitive benefits and compensation.  If you’re looking to build your career as part of a global technology team tackling big challenges that impact the lives of people and companies all around the world, we want to meet you.  We strongly encourage all applicants to apply via our careers website where you are able join our Talent Network to receive customized vacancy notifications and ensure that your details are accessible by our global recruiting team - www.jpmorganchase.com/careers. A quick link to this particular job posting can be found in this URL: http://jobs.jpmorganchase.com/ListJobs/ByKeyword/180105195/ Please note that only short-listed candidates will be notified. We thank you for your interest and wish you all the best in your career. Yours Sincerely, Human Resources JPMorgan",https://www.mycareersfuture.sg/job/infrastructure-development-big-data-jpmorgan-chase-bank-na-7422644b462f62e352638b7063ba8bca,,Government support available
9,"Senior Associate, FullStack Developer, Group Consumer Banking and Big Data Analytics Technology, T&O",DBS BANK LTD.,Full Time,Senior Executive,Information Technology,"$5,000to$10,000",Monthly,"Business Function  Group Technology and Operations (T&O) enables and empowers the bank with an efficient, nimble and resilient infrastructure through a strategic focus on productivity, quality & control, technology, people capability and innovation. In Group T&O, we manage the majority of the Bank's operational processes and inspire to delight our business partners through our multiple banking delivery channels. We’re looking for technologists across varying levels all over the world to be part of a major transformation programme to reimagine banking.  Based in Singapore, you’ll be leveraging the latest technology to develop mission critical applications from scratch. You’ll design, develop, test and deploy new applications as part of the strategic transformation programme, using Agile, cloud technologies, microservices and Big Data. Responsibilities  •Deeply interested in technology and how it can be used to solve real-world problems •Actively keeping yourself up to date with the latest technological trends, tools and frameworks •Looking to have a meaningful impact on a large group of people •Creating complex applications, transforming user experience and the enterprise •Hands-on coding, initially solely responsible developing services that construct applications front to back i.e. from UX to data acquisition and repositories. •Responsible for assuring the technical design and delivery •Working in highly collaborative teams and building quality code  •Working with senior business and technical colleagues to rapidly deliver solutions •Collaborating with and working under the direction of senior technical colleagues  •Contributing to the technical design and architecture, particularly in service / microservice decomposition •Knowledge in lots of different domains, programming languages and client environments  •Furnish the business domain deeply and working closely with business stakeholders  ","Requirements•Solid experience with Linux and hands on development experience in Java and at least another high level language preferably (C++, C#, Python, Javascript) •A grounded understanding of development best practices •Continuous Integration, branching and merging, pair programming, code reviews, feature toggles, blue- green deployments, TDD and unit testing, agile methodologies (Scrum/XP), Design Patterns •Hands on experience on Java/Web frameworks and tools including: Spring-boot, Redis, Hazlecast, AngularJS, AMQP (RabbitMQ), MongoDB, Cloud Foundary or similar cloud technology  •Spring, Jenkins, Docker, Sonar, Apache Hadoop stack, Angular, Test driven development •Good understanding of Networking and Security •Familiarity with RDBMS, preferably MariaDB, MySQL, NoSQL.UML and Design Thinking (user journey) experience. •Demonstrable experience in event driven design and coding. •Experience working with, or an interest in Agile Methodologies, such as Extreme Programming (XP) and Scrum  •Hunger to innovate, extend knowledge and present new ideas. Desired •Prioritize your own work and be willing to take the initiative when you see the right opportunity •Focus on solving the problems that deliver the highest value  •Lead by example and be a model to inspire others •Understanding of current technologies employed by Tier 1 Investment Banking Institutions •Must be a team player  ",https://www.mycareersfuture.sg/job/senior-associate-fullstack-developer-group-consumer-banking-big-data-analytics-technology-to-dbs-bank-dc32ef7f05001b240808c57ae344e548,East,Government support available
